label,type,threshold_value,elapsed_s,vessel_size,vessel_std,denoise_kernel,frangi_tiles_per_axis,intensity_likelihood,vessel_prior,ridge_threshold,ridge_iterations,auto_seed,auto_seed_rounds,auto_seed_max,auto_seed_intensity_sigma,component_min_prob,median_intensity,std_intensity,vessel_seeds_correct,vessel_seeds_total,bg_seeds_correct,bg_seeds_total,pred_gt_dice,pred_gt_cldice,pred_gt_iou,pred_gt_precision,pred_gt_recall,pred_gt_vol,cl_len_gt_mm,cl_len_pred_mm,cl_match_pred_mm
threshold_1,threshold,1,0.01,,,,,,,,,,,,,,213.00,39.27,14,14,0,9,0.0040,0.0000,0.0020,0.0020,1.0000,504.945,8.08,0.25,0.00
threshold_3,threshold,3,0.01,,,,,,,,,,,,,,213.00,39.27,14,14,0,9,0.0040,0.0000,0.0020,0.0020,1.0000,504.945,8.08,0.25,0.00
threshold_5,threshold,5,0.01,,,,,,,,,,,,,,213.00,39.27,14,14,0,9,0.0040,0.0000,0.0020,0.0020,1.0000,504.945,8.08,0.25,0.00
threshold_7,threshold,7,0.01,,,,,,,,,,,,,,213.00,39.27,14,14,0,9,0.0040,0.0000,0.0020,0.0020,1.0000,504.945,8.08,0.25,0.00
threshold_9,threshold,9,0.02,,,,,,,,,,,,,,213.00,39.27,14,14,0,9,0.0040,0.0000,0.0020,0.0020,1.0000,504.945,8.08,0.25,0.00
threshold_11,threshold,11,0.02,,,,,,,,,,,,,,213.00,39.27,14,14,0,9,0.0040,0.0000,0.0020,0.0020,1.0000,504.945,8.08,0.25,0.00
threshold_13,threshold,13,0.01,,,,,,,,,,,,,,213.00,39.27,14,14,0,9,0.0040,0.0000,0.0020,0.0020,1.0000,504.945,8.08,0.25,0.00
threshold_15,threshold,15,0.01,,,,,,,,,,,,,,213.00,39.27,14,14,0,9,0.0040,0.0000,0.0020,0.0020,1.0000,504.945,8.08,0.25,0.00
threshold_17,threshold,17,0.02,,,,,,,,,,,,,,213.00,39.27,14,14,0,9,0.0040,0.0000,0.0020,0.0020,1.0000,504.945,8.08,0.25,0.00
threshold_19,threshold,19,0.01,,,,,,,,,,,,,,213.00,39.27,14,14,0,9,0.0040,0.0000,0.0020,0.0020,1.0000,504.945,8.08,0.25,0.00
threshold_21,threshold,21,0.01,,,,,,,,,,,,,,213.00,39.27,14,14,0,9,0.0040,0.0000,0.0020,0.0020,1.0000,504.945,8.08,0.25,0.00
threshold_23,threshold,23,0.01,,,,,,,,,,,,,,213.00,39.27,14,14,0,9,0.0040,0.0000,0.0020,0.0020,1.0000,504.945,8.08,0.25,0.00
threshold_25,threshold,25,0.01,,,,,,,,,,,,,,213.00,39.27,14,14,0,9,0.0040,0.0000,0.0020,0.0020,1.0000,504.945,8.08,0.25,0.00
threshold_27,threshold,27,0.01,,,,,,,,,,,,,,213.00,39.27,14,14,0,9,0.0040,0.0000,0.0020,0.0020,1.0000,504.945,8.08,0.25,0.00
threshold_29,threshold,29,0.01,,,,,,,,,,,,,,213.00,39.27,14,14,0,9,0.0040,0.0000,0.0020,0.0020,1.0000,504.945,8.08,0.25,0.00
threshold_31,threshold,31,0.01,,,,,,,,,,,,,,213.00,39.27,14,14,0,9,0.0040,0.0000,0.0020,0.0020,1.0000,504.945,8.08,0.25,0.00
threshold_33,threshold,33,0.01,,,,,,,,,,,,,,213.00,39.27,14,14,0,9,0.0040,0.0000,0.0020,0.0020,1.0000,504.945,8.08,0.25,0.00
threshold_35,threshold,35,0.01,,,,,,,,,,,,,,213.00,39.27,14,14,0,9,0.0040,0.0000,0.0020,0.0020,1.0000,504.945,8.08,0.25,0.00
threshold_37,threshold,37,0.01,,,,,,,,,,,,,,213.00,39.27,14,14,0,9,0.0040,0.0000,0.0020,0.0020,1.0000,504.945,8.08,0.25,0.00
