label,type,threshold_value,elapsed_s,vessel_size,vessel_std,denoise_kernel,frangi_tiles_per_axis,intensity_likelihood,vessel_prior,ridge_threshold,ridge_iterations,auto_seed,auto_seed_rounds,auto_seed_max,auto_seed_intensity_sigma,component_min_prob,median_intensity,std_intensity,vessel_seeds_correct,vessel_seeds_total,bg_seeds_correct,bg_seeds_total,pred_gt_dice,pred_gt_cldice,pred_gt_iou,pred_gt_precision,pred_gt_recall,pred_gt_vol,cl_len_gt_mm,cl_len_pred_mm,cl_match_pred_mm
pipeline_1_default,pipeline,,100.20,4,4,8,2,True,0.1,0.01,3,True,2,200,2.0,0.05,138.00,9.16,9,9,6,7,0.0717,0.1821,0.0372,0.0375,0.8241,21.993,5.29,39.50,4.03
pipeline_2,pipeline,,87.49,3,4,6,2,True,0.1,0.01,3,True,2,200,2.0,0.05,138.00,9.16,8,9,7,7,0.0958,0.2094,0.0503,0.0510,0.7743,15.169,5.29,34.55,4.13
pipeline_3,pipeline,,87.64,3,4,6,2,True,0.1,0.060000000000000005,3,True,2,200,2.0,0.05,138.00,9.16,8,9,7,7,0.0958,0.2094,0.0503,0.0510,0.7743,15.169,5.29,34.55,4.13
pipeline_4,pipeline,,81.37,3,4,6,2,True,0.1,0.01,3,True,2,200,1.75,0.05,138.00,9.16,7,9,7,7,0.1068,0.2300,0.0564,0.0573,0.7765,13.547,5.29,30.91,4.12
pipeline_5,pipeline,,71.38,3,3,8,2,True,0.1,0.060000000000000005,3,True,2,200,1.75,0.05,138.00,9.16,8,9,7,7,0.1130,0.2367,0.0599,0.0609,0.7890,12.962,5.29,28.29,3.91
pipeline_6,pipeline,,69.71,3,3,8,2,True,0.05,0.060000000000000005,3,True,2,200,1.75,0.05,138.00,9.16,7,9,7,7,0.1486,0.3068,0.0802,0.0826,0.7347,8.891,5.29,19.77,3.78
