label,type,threshold_value,elapsed_s,vessel_size,vessel_std,denoise_kernel,frangi_tiles_per_axis,intensity_likelihood,vessel_prior,ridge_threshold,ridge_iterations,auto_seed,auto_seed_rounds,auto_seed_max,auto_seed_intensity_sigma,component_min_prob,median_intensity,std_intensity,vessel_seeds_correct,vessel_seeds_total,bg_seeds_correct,bg_seeds_total,pred_gt_dice,pred_gt_cldice,pred_gt_iou,pred_gt_precision,pred_gt_recall,pred_gt_vol,cl_len_gt_mm,cl_len_pred_mm,cl_match_pred_mm
threshold_1,threshold,1,0.00,,,,,,,,,,,,,,163.00,30.05,27,27,0,11,0.0197,0.0196,0.0100,0.0100,1.0000,100.292,26.99,488.64,4.83
threshold_3,threshold,3,0.00,,,,,,,,,,,,,,163.00,30.05,27,27,0,11,0.0197,0.0223,0.0100,0.0100,1.0000,100.289,26.99,1191.20,13.46
threshold_5,threshold,5,0.00,,,,,,,,,,,,,,163.00,30.05,27,27,0,11,0.0197,0.0285,0.0100,0.0100,1.0000,100.273,26.99,2051.08,29.62
threshold_7,threshold,7,0.00,,,,,,,,,,,,,,163.00,30.05,27,27,0,11,0.0198,0.0233,0.0100,0.0100,1.0000,100.218,26.99,2990.57,35.30
threshold_9,threshold,9,0.00,,,,,,,,,,,,,,163.00,30.05,27,27,0,11,0.0198,0.0211,0.0100,0.0100,1.0000,100.085,26.99,3937.33,41.93
threshold_11,threshold,11,0.00,,,,,,,,,,,,,,163.00,30.05,27,27,0,11,0.0198,0.0205,0.0100,0.0100,1.0000,99.799,26.99,4182.51,43.40
threshold_13,threshold,13,0.00,,,,,,,,,,,,,,163.00,30.05,27,27,0,11,0.0200,0.0196,0.0101,0.0101,1.0000,99.178,26.99,4015.51,39.70
threshold_15,threshold,15,0.00,,,,,,,,,,,,,,163.00,30.05,27,27,0,11,0.0203,0.0125,0.0102,0.0102,1.0000,97.746,26.99,3242.29,20.37
threshold_17,threshold,17,0.00,,,,,,,,,,,,,,163.00,30.05,27,27,0,11,0.0209,0.0073,0.0105,0.0105,1.0000,94.901,26.99,2122.13,7.79
threshold_19,threshold,19,0.00,,,,,,,,,,,,,,163.00,30.05,27,27,0,11,0.0218,0.0059,0.0110,0.0110,1.0000,90.816,26.99,1307.51,3.88
threshold_21,threshold,21,0.00,,,,,,,,,,,,,,163.00,30.05,27,27,0,11,0.0228,0.0072,0.0115,0.0115,1.0000,86.823,26.99,783.47,2.83
threshold_23,threshold,23,0.00,,,,,,,,,,,,,,163.00,30.05,27,27,0,11,0.0235,0.0068,0.0119,0.0119,1.0000,84.194,26.99,303.57,1.04
threshold_25,threshold,25,0.00,,,,,,,,,,,,,,163.00,30.05,27,27,0,11,0.0238,0.0051,0.0121,0.0121,1.0000,82.862,26.99,114.78,0.29
threshold_27,threshold,27,0.00,,,,,,,,,,,,,,163.00,30.05,27,27,0,11,0.0240,0.0068,0.0122,0.0122,1.0000,82.256,26.99,49.34,0.17
threshold_29,threshold,29,0.00,,,,,,,,,,,,,,163.00,30.05,27,27,0,11,0.0241,0.0068,0.0122,0.0122,1.0000,81.962,26.99,24.57,0.08
threshold_31,threshold,31,0.00,,,,,,,,,,,,,,163.00,30.05,27,27,0,11,0.0242,0.0040,0.0122,0.0122,1.0000,81.799,26.99,20.93,0.04
