label,type,threshold_value,elapsed_s,vessel_size,vessel_std,denoise_kernel,frangi_tiles_per_axis,intensity_likelihood,vessel_prior,ridge_threshold,ridge_iterations,auto_seed,auto_seed_rounds,auto_seed_max,auto_seed_intensity_sigma,component_min_prob,median_intensity,std_intensity,vessel_seeds_correct,vessel_seeds_total,bg_seeds_correct,bg_seeds_total,pred_gt_dice,pred_gt_cldice,pred_gt_iou,pred_gt_precision,pred_gt_recall,pred_gt_vol,cl_len_gt_mm,cl_len_pred_mm,cl_match_pred_mm
threshold_1,threshold,1,0.01,,,,,,,,,,,,,,191.00,33.73,7,7,0,10,0.0073,0.0000,0.0037,0.0037,1.0000,272.521,2.48,0.00,0.00
threshold_3,threshold,3,0.01,,,,,,,,,,,,,,191.00,33.73,7,7,0,10,0.0073,0.0000,0.0037,0.0037,1.0000,272.521,2.48,37.69,0.00
threshold_5,threshold,5,0.01,,,,,,,,,,,,,,191.00,33.73,7,7,0,10,0.0073,0.0000,0.0037,0.0037,1.0000,272.521,2.48,125.45,0.00
threshold_7,threshold,7,0.01,,,,,,,,,,,,,,191.00,33.73,7,7,0,10,0.0073,0.0022,0.0037,0.0037,1.0000,272.518,2.48,353.31,0.40
threshold_9,threshold,9,0.01,,,,,,,,,,,,,,191.00,33.73,7,7,0,10,0.0073,0.0011,0.0037,0.0037,1.0000,272.508,2.48,603.01,0.32
threshold_11,threshold,11,0.02,,,,,,,,,,,,,,191.00,33.73,7,7,0,10,0.0073,0.0008,0.0037,0.0037,1.0000,272.477,2.48,861.23,0.37
threshold_13,threshold,13,0.02,,,,,,,,,,,,,,191.00,33.73,7,7,0,10,0.0073,0.0002,0.0037,0.0037,1.0000,272.387,2.48,1207.52,0.10
threshold_15,threshold,15,0.01,,,,,,,,,,,,,,191.00,33.73,7,7,0,10,0.0073,0.0005,0.0037,0.0037,1.0000,272.150,2.48,1677.41,0.44
threshold_17,threshold,17,0.01,,,,,,,,,,,,,,191.00,33.73,7,7,0,10,0.0073,0.0009,0.0037,0.0037,1.0000,271.603,2.48,2098.49,0.98
threshold_19,threshold,19,0.01,,,,,,,,,,,,,,191.00,33.73,7,7,0,10,0.0074,0.0013,0.0037,0.0037,1.0000,270.491,2.48,2521.87,1.58
threshold_21,threshold,21,0.01,,,,,,,,,,,,,,191.00,33.73,7,7,0,10,0.0074,0.0017,0.0037,0.0037,1.0000,268.473,2.48,2874.73,2.50
threshold_23,threshold,23,0.01,,,,,,,,,,,,,,191.00,33.73,7,7,0,10,0.0075,0.0024,0.0038,0.0038,1.0000,265.100,2.48,3104.60,3.67
threshold_25,threshold,25,0.01,,,,,,,,,,,,,,191.00,33.73,7,7,0,10,0.0077,0.0029,0.0038,0.0038,1.0000,259.985,2.48,3163.29,4.54
threshold_27,threshold,27,0.01,,,,,,,,,,,,,,191.00,33.73,7,7,0,10,0.0079,0.0032,0.0040,0.0040,1.0000,252.902,2.48,3119.32,4.96
threshold_29,threshold,29,0.01,,,,,,,,,,,,,,191.00,33.73,7,7,0,10,0.0082,0.0037,0.0041,0.0041,1.0000,244.014,2.48,2981.86,5.46
threshold_31,threshold,31,0.01,,,,,,,,,,,,,,191.00,33.73,7,7,0,10,0.0085,0.0039,0.0043,0.0043,1.0000,233.623,2.48,2826.10,5.53
threshold_33,threshold,33,0.01,,,,,,,,,,,,,,191.00,33.73,7,7,0,10,0.0090,0.0046,0.0045,0.0045,1.0000,222.304,2.48,2668.97,6.13
threshold_35,threshold,35,0.01,,,,,,,,,,,,,,191.00,33.73,7,7,0,10,0.0094,0.0055,0.0047,0.0047,1.0000,210.802,2.48,2505.19,6.89
threshold_37,threshold,37,0.02,,,,,,,,,,,,,,191.00,33.73,7,7,0,10,0.0100,0.0060,0.0050,0.0050,1.0000,199.653,2.48,2328.03,7.00
threshold_39,threshold,39,0.01,,,,,,,,,,,,,,191.00,33.73,7,7,0,10,0.0105,0.0067,0.0053,0.0053,1.0000,189.246,2.48,2158.88,7.30
threshold_41,threshold,41,0.01,,,,,,,,,,,,,,191.00,33.73,7,7,0,10,0.0111,0.0068,0.0056,0.0056,1.0000,179.966,2.48,1922.49,6.57
threshold_43,threshold,43,0.01,,,,,,,,,,,,,,191.00,33.73,7,7,0,10,0.0116,0.0054,0.0058,0.0058,1.0000,171.984,2.48,1675.88,4.58
threshold_45,threshold,45,0.01,,,,,,,,,,,,,,191.00,33.73,7,7,0,10,0.0120,0.0045,0.0060,0.0060,1.0000,165.296,2.48,1352.02,3.02
threshold_47,threshold,47,0.01,,,,,,,,,,,,,,191.00,33.73,7,7,0,10,0.0124,0.0041,0.0063,0.0063,1.0000,159.880,2.48,1005.95,2.08
threshold_49,threshold,49,0.01,,,,,,,,,,,,,,191.00,33.73,7,7,0,10,0.0128,0.0060,0.0064,0.0064,1.0000,155.603,2.48,617.43,1.86
threshold_51,threshold,51,0.01,,,,,,,,,,,,,,191.00,33.73,7,7,0,10,0.0130,0.0056,0.0066,0.0066,1.0000,152.358,2.48,421.57,1.19
threshold_53,threshold,53,0.01,,,,,,,,,,,,,,191.00,33.73,7,7,0,10,0.0132,0.0059,0.0067,0.0067,0.9999,149.980,2.48,294.10,0.88
threshold_55,threshold,55,0.01,,,,,,,,,,,,,,191.00,33.73,7,7,0,10,0.0134,0.0047,0.0067,0.0067,0.9999,148.310,2.48,205.25,0.48
threshold_57,threshold,57,0.01,,,,,,,,,,,,,,191.00,33.73,7,7,0,10,0.0135,0.0041,0.0068,0.0068,0.9998,147.160,2.48,148.19,0.31
threshold_59,threshold,59,0.02,,,,,,,,,,,,,,191.00,33.73,7,7,0,10,0.0136,0.0039,0.0068,0.0068,0.9996,146.406,2.48,95.72,0.19
threshold_61,threshold,61,0.01,,,,,,,,,,,,,,191.00,33.73,7,7,0,10,0.0136,0.0044,0.0069,0.0069,0.9996,145.894,2.48,56.73,0.13
threshold_63,threshold,63,0.01,,,,,,,,,,,,,,191.00,33.73,7,7,0,10,0.0136,0.0071,0.0069,0.0069,0.9991,145.561,2.48,31.96,0.11
threshold_65,threshold,65,0.01,,,,,,,,,,,,,,191.00,33.73,7,7,0,10,0.0137,0.0070,0.0069,0.0069,0.9990,145.313,2.48,15.32,0.05
threshold_67,threshold,67,0.01,,,,,,,,,,,,,,191.00,33.73,7,7,0,10,0.0137,0.0054,0.0069,0.0069,0.9989,145.128,2.48,8.89,0.02
threshold_69,threshold,69,0.01,,,,,,,,,,,,,,191.00,33.73,7,7,0,10,0.0137,0.0000,0.0069,0.0069,0.9988,144.978,2.48,3.14,0.00
threshold_71,threshold,71,0.01,,,,,,,,,,,,,,191.00,33.73,7,7,0,10,0.0137,0.0058,0.0069,0.0069,0.9987,144.835,2.48,4.13,0.01
threshold_73,threshold,73,0.01,,,,,,,,,,,,,,191.00,33.73,7,7,0,10,0.0137,0.0000,0.0069,0.0069,0.9982,144.711,2.48,3.82,0.00
threshold_75,threshold,75,0.01,,,,,,,,,,,,,,191.00,33.73,7,7,0,10,0.0137,0.0039,0.0069,0.0069,0.9980,144.593,2.48,3.10,0.01
threshold_77,threshold,77,0.01,,,,,,,,,,,,,,191.00,33.73,7,7,0,10,0.0137,0.0000,0.0069,0.0069,0.9980,144.478,2.48,2.87,0.00
threshold_79,threshold,79,0.01,,,,,,,,,,,,,,191.00,33.73,7,7,0,10,0.0137,0.0000,0.0069,0.0069,0.9977,144.369,2.48,2.33,0.00
threshold_81,threshold,81,0.01,,,,,,,,,,,,,,191.00,33.73,7,7,0,10,0.0137,0.0000,0.0069,0.0069,0.9973,144.265,2.48,2.57,0.00
