label,type,threshold_value,elapsed_s,vessel_size,vessel_std,denoise_kernel,frangi_tiles_per_axis,intensity_likelihood,vessel_prior,ridge_threshold,ridge_iterations,auto_seed,auto_seed_rounds,auto_seed_max,auto_seed_intensity_sigma,component_min_prob,median_intensity,std_intensity,vessel_seeds_correct,vessel_seeds_total,bg_seeds_correct,bg_seeds_total,pred_gt_dice,pred_gt_cldice,pred_gt_iou,pred_gt_precision,pred_gt_recall,pred_gt_vol,cl_len_gt_mm,cl_len_pred_mm,cl_match_pred_mm
frangi_0.000,frangi,0.0,0.00,,,,,,,,,,,,,,163.00,30.05,26,27,6,11,0.0286,0.0163,0.0145,0.0146,0.6913,47.373,26.99,5679.83,46.76
frangi_0.025,frangi,0.025,0.00,,,,,,,,,,,,,,163.00,30.05,26,27,6,11,0.0311,0.0171,0.0158,0.0159,0.6627,41.592,26.99,5688.48,49.23
frangi_0.050,frangi,0.05,0.01,,,,,,,,,,,,,,163.00,30.05,26,27,7,11,0.0331,0.0172,0.0168,0.0170,0.6379,37.532,26.99,5684.16,49.51
frangi_0.075,frangi,0.075,0.00,,,,,,,,,,,,,,163.00,30.05,26,27,7,11,0.0350,0.0176,0.0178,0.0180,0.6132,34.049,26.99,5590.01,49.76
frangi_0.100,frangi,0.1,0.01,,,,,,,,,,,,,,163.00,30.05,26,27,8,11,0.0372,0.0182,0.0189,0.0192,0.5912,30.829,26.99,5420.00,50.02
frangi_0.125,frangi,0.125,0.01,,,,,,,,,,,,,,163.00,30.05,26,27,8,11,0.0395,0.0187,0.0201,0.0205,0.5695,27.844,26.99,5189.11,49.13
frangi_0.150,frangi,0.15,0.01,,,,,,,,,,,,,,163.00,30.05,26,27,8,11,0.0420,0.0194,0.0215,0.0219,0.5490,25.122,26.99,4929.94,48.53
frangi_0.175,frangi,0.175,0.00,,,,,,,,,,,,,,163.00,30.05,26,27,8,11,0.0448,0.0203,0.0229,0.0234,0.5298,22.633,26.99,4650.77,47.97
frangi_0.200,frangi,0.2,0.00,,,,,,,,,,,,,,163.00,30.05,26,27,8,11,0.0478,0.0211,0.0245,0.0251,0.5113,20.388,26.99,4365.34,46.63
frangi_0.225,frangi,0.225,0.01,,,,,,,,,,,,,,163.00,30.05,26,27,8,11,0.0509,0.0223,0.0261,0.0268,0.4925,18.371,26.99,4094.83,46.45
frangi_0.250,frangi,0.25,0.00,,,,,,,,,,,,,,163.00,30.05,25,27,8,11,0.0540,0.0234,0.0278,0.0286,0.4751,16.584,26.99,3838.76,45.73
frangi_0.275,frangi,0.275,0.01,,,,,,,,,,,,,,163.00,30.05,25,27,8,11,0.0575,0.0243,0.0296,0.0307,0.4589,14.967,26.99,3593.00,44.44
frangi_0.300,frangi,0.3,0.00,,,,,,,,,,,,,,163.00,30.05,25,27,8,11,0.0610,0.0254,0.0314,0.0327,0.4421,13.502,26.99,3357.08,43.39
frangi_0.325,frangi,0.325,0.00,,,,,,,,,,,,,,163.00,30.05,25,27,8,11,0.0647,0.0264,0.0335,0.0350,0.4262,12.166,26.99,3131.24,42.20
frangi_0.350,frangi,0.35,0.00,,,,,,,,,,,,,,163.00,30.05,25,27,8,11,0.0689,0.0278,0.0357,0.0376,0.4113,10.938,26.99,2905.72,41.30
frangi_0.375,frangi,0.375,0.00,,,,,,,,,,,,,,163.00,30.05,25,27,8,11,0.0735,0.0294,0.0382,0.0405,0.3973,9.804,26.99,2683.60,40.41
frangi_0.400,frangi,0.4,0.01,,,,,,,,,,,,,,163.00,30.05,24,27,8,11,0.0786,0.0315,0.0409,0.0438,0.3837,8.759,26.99,2469.45,39.85
frangi_0.425,frangi,0.425,0.00,,,,,,,,,,,,,,163.00,30.05,24,27,8,11,0.0841,0.0334,0.0439,0.0475,0.3698,7.792,26.99,2259.38,38.78
frangi_0.450,frangi,0.45,0.01,,,,,,,,,,,,,,163.00,30.05,24,27,8,11,0.0901,0.0355,0.0472,0.0516,0.3567,6.916,26.99,2059.03,37.64
frangi_0.475,frangi,0.475,0.01,,,,,,,,,,,,,,163.00,30.05,24,27,8,11,0.0966,0.0379,0.0507,0.0562,0.3443,6.131,26.99,1877.33,36.81
