label,type,threshold_value,elapsed_s,vessel_size,vessel_std,denoise_kernel,frangi_tiles_per_axis,intensity_likelihood,vessel_prior,ridge_threshold,ridge_iterations,auto_seed,auto_seed_rounds,auto_seed_max,auto_seed_intensity_sigma,component_min_prob,median_intensity,std_intensity,vessel_seeds_correct,vessel_seeds_total,bg_seeds_correct,bg_seeds_total,pred_gt_dice,pred_gt_cldice,pred_gt_iou,pred_gt_precision,pred_gt_recall,pred_gt_vol,cl_len_gt_mm,cl_len_pred_mm,cl_match_pred_mm
frangi_0.000,frangi,0.0,0.08,,,,,,,,,,,,,,191.00,33.73,7,7,7,10,0.0101,0.0066,0.0051,0.0051,0.7424,146.718,2.48,2634.61,8.76
frangi_0.050,frangi,0.05,0.03,,,,,,,,,,,,,,191.00,33.73,7,7,7,10,0.0111,0.0065,0.0056,0.0056,0.7014,124.887,2.48,2777.17,9.12
frangi_0.100,frangi,0.1,0.04,,,,,,,,,,,,,,191.00,33.73,7,7,8,10,0.0120,0.0066,0.0060,0.0061,0.6614,109.302,2.48,2888.57,9.61
frangi_0.150,frangi,0.15,0.04,,,,,,,,,,,,,,191.00,33.73,7,7,8,10,0.0128,0.0064,0.0065,0.0065,0.6196,95.479,2.48,2907.69,9.41
frangi_0.200,frangi,0.2,0.04,,,,,,,,,,,,,,191.00,33.73,7,7,8,10,0.0137,0.0066,0.0069,0.0070,0.5783,83.184,2.48,2828.68,9.39
frangi_0.250,frangi,0.25,0.08,,,,,,,,,,,,,,191.00,33.73,7,7,8,10,0.0146,0.0066,0.0074,0.0074,0.5359,72.318,2.48,2670.83,8.87
frangi_0.300,frangi,0.3,0.05,,,,,,,,,,,,,,191.00,33.73,7,7,8,10,0.0157,0.0068,0.0079,0.0080,0.5002,62.564,2.48,2460.72,8.45
frangi_0.350,frangi,0.35,0.03,,,,,,,,,,,,,,191.00,33.73,5,7,8,10,0.0170,0.0076,0.0086,0.0087,0.4650,53.752,2.48,2216.51,8.45
frangi_0.400,frangi,0.4,0.07,,,,,,,,,,,,,,191.00,33.73,5,7,9,10,0.0185,0.0083,0.0093,0.0095,0.4338,45.842,2.48,1963.84,8.20
frangi_0.450,frangi,0.45,0.04,,,,,,,,,,,,,,191.00,33.73,5,7,9,10,0.0205,0.0091,0.0104,0.0105,0.4071,38.729,2.48,1710.86,7.81
frangi_0.500,frangi,0.5,0.05,,,,,,,,,,,,,,191.00,33.73,5,7,9,10,0.0226,0.0099,0.0114,0.0116,0.3773,32.423,2.48,1477.10,7.40
frangi_0.550,frangi,0.55,0.04,,,,,,,,,,,,,,191.00,33.73,5,7,9,10,0.0252,0.0109,0.0128,0.0131,0.3516,26.889,2.48,1268.46,6.95
frangi_0.600,frangi,0.6,0.04,,,,,,,,,,,,,,191.00,33.73,5,7,9,10,0.0280,0.0127,0.0142,0.0147,0.3240,22.108,2.48,1078.68,6.93
frangi_0.650,frangi,0.65,0.08,,,,,,,,,,,,,,191.00,33.73,5,7,10,10,0.0316,0.0144,0.0160,0.0167,0.2996,17.974,2.48,910.46,6.65
frangi_0.700,frangi,0.7,0.03,,,,,,,,,,,,,,191.00,33.73,5,7,10,10,0.0357,0.0159,0.0182,0.0191,0.2770,14.503,2.48,763.23,6.16
frangi_0.750,frangi,0.75,0.03,,,,,,,,,,,,,,191.00,33.73,5,7,10,10,0.0408,0.0185,0.0208,0.0221,0.2570,11.602,2.48,631.70,5.96
frangi_0.800,frangi,0.8,0.03,,,,,,,,,,,,,,191.00,33.73,5,7,10,10,0.0463,0.0216,0.0237,0.0257,0.2358,9.191,2.48,515.70,5.68
frangi_0.850,frangi,0.85,0.03,,,,,,,,,,,,,,191.00,33.73,5,7,10,10,0.0524,0.0250,0.0269,0.0298,0.2148,7.208,2.48,415.00,5.33
frangi_0.900,frangi,0.9,0.04,,,,,,,,,,,,,,191.00,33.73,5,7,10,10,0.0600,0.0295,0.0309,0.0353,0.1987,5.620,2.48,329.84,5.01
frangi_0.950,frangi,0.95,0.03,,,,,,,,,,,,,,191.00,33.73,5,7,10,10,0.0684,0.0361,0.0354,0.0420,0.1834,4.365,2.48,259.57,4.87
