label,type,threshold_value,elapsed_s,vessel_seeds_correct,vessel_seeds_total,bg_seeds_correct,bg_seeds_total,pred_gt_dice,pred_gt_cldice,pred_gt_iou,pred_gt_precision,pred_gt_recall,pred_gt_vol,tp,fp,tn,fn,gt_voxels,pred_voxels,cl_len_gt_mm,cl_len_pred_mm,cl_match_pred_mm,variant,vessel_size,vessel_std,structure_strength,ridge_threshold,ridge_iterations,auto_seed_rounds,auto_seed_max
default_frangi_0.480,frangi,0.48,0.00,9,9,7,7,0.0145,0.0060,0.0073,0.0074,0.4037,54.851,6440,868654,10193267,9514,15954,875094,5.29,2250.55,6.76,default,4,3,4,0.01,3,2,200
default_frangi_0.500,frangi,0.5,0.00,9,9,7,7,0.0154,0.0063,0.0078,0.0079,0.3931,49.948,6271,790592,10271329,9683,15954,796863,5.29,2120.45,6.67,default,4,3,4,0.01,3,2,200
default_frangi_0.520,frangi,0.52,0.00,9,9,7,7,0.0164,0.0064,0.0083,0.0084,0.3806,45.467,6072,719307,10342614,9882,15954,725379,5.29,1992.55,6.46,default,4,3,4,0.01,3,2,200
default_frangi_0.540,frangi,0.54,0.00,9,9,7,7,0.0175,0.0067,0.0088,0.0089,0.3698,41.338,5899,653613,10408308,10055,15954,659512,5.29,1870.12,6.30,default,4,3,4,0.01,3,2,200
default_frangi_0.560,frangi,0.56,0.00,9,9,7,7,0.0187,0.0070,0.0094,0.0096,0.3599,37.536,5742,593103,10468818,10212,15954,598845,5.29,1752.27,6.14,default,4,3,4,0.01,3,2,200
default_frangi_0.580,frangi,0.58,0.00,9,9,7,7,0.0199,0.0073,0.0101,0.0102,0.3493,34.095,5573,538376,10523545,10381,15954,543949,5.29,1641.37,6.02,default,4,3,4,0.01,3,2,200
default_frangi_0.600,frangi,0.6,0.00,9,9,7,7,0.0213,0.0077,0.0108,0.0110,0.3395,30.870,5417,487079,10574842,10537,15954,492496,5.29,1532.50,5.95,default,4,3,4,0.01,3,2,200
default_frangi_0.620,frangi,0.62,0.00,9,9,7,7,0.0228,0.0082,0.0115,0.0118,0.3289,27.903,5247,439918,10622003,10707,15954,445165,5.29,1427.45,5.87,default,4,3,4,0.01,3,2,200
default_frangi_0.640,frangi,0.64,0.00,9,9,7,7,0.0243,0.0088,0.0123,0.0126,0.3170,25.142,5057,396057,10665864,10897,15954,401114,5.29,1321.13,5.83,default,4,3,4,0.01,3,2,200
default_frangi_0.660,frangi,0.66,0.00,9,9,7,7,0.0261,0.0094,0.0132,0.0136,0.3077,22.584,4909,355395,10706526,11045,15954,360304,5.29,1218.41,5.75,default,4,3,4,0.01,3,2,200
default_frangi_0.680,frangi,0.68,0.00,9,9,7,7,0.0280,0.0100,0.0142,0.0147,0.2976,20.221,4748,317860,10744061,11206,15954,322608,5.29,1118.30,5.67,default,4,3,4,0.01,3,2,200
default_frangi_0.700,frangi,0.7,0.00,9,9,7,7,0.0301,0.0106,0.0153,0.0159,0.2868,18.035,4575,283150,10778771,11379,15954,287725,5.29,1022.06,5.46,default,4,3,4,0.01,3,2,200
default_frangi_0.720,frangi,0.72,0.00,9,9,7,7,0.0327,0.0113,0.0166,0.0174,0.2784,16.029,4442,251280,10810641,11512,15954,255722,5.29,929.53,5.33,default,4,3,4,0.01,3,2,200
default_frangi_0.740,frangi,0.74,0.00,9,9,7,7,0.0355,0.0122,0.0181,0.0190,0.2697,14.206,4302,222345,10839576,11652,15954,226647,5.29,842.02,5.21,default,4,3,4,0.01,3,2,200
default_frangi_0.760,frangi,0.76,0.00,9,9,7,7,0.0384,0.0133,0.0196,0.0207,0.2601,12.547,4149,196028,10865893,11805,15954,200177,5.29,761.52,5.12,default,4,3,4,0.01,3,2,200
default_frangi_0.780,frangi,0.78,0.00,9,9,7,7,0.0417,0.0144,0.0213,0.0227,0.2524,11.104,4026,173124,10888797,11928,15954,177150,5.29,687.72,5.03,default,4,3,4,0.01,3,2,200
default_frangi_0.800,frangi,0.8,0.00,8,9,7,7,0.0454,0.0158,0.0232,0.0250,0.2452,9.798,3912,152399,10909522,12042,15954,156311,5.29,618.74,4.96,default,4,3,4,0.01,3,2,200
default_frangi_0.820,frangi,0.82,0.00,8,9,7,7,0.0491,0.0169,0.0252,0.0274,0.2369,8.645,3779,134148,10927773,12175,15954,137927,5.29,555.86,4.77,default,4,3,4,0.01,3,2,200
default_frangi_0.840,frangi,0.84,0.00,8,9,7,7,0.0529,0.0185,0.0272,0.0299,0.2283,7.626,3642,118022,10943899,12312,15954,121664,5.29,499.74,4.72,default,4,3,4,0.01,3,2,200
default_frangi_0.860,frangi,0.86,0.00,8,9,7,7,0.0571,0.0203,0.0294,0.0328,0.2208,6.728,3522,103823,10958098,12432,15954,107345,5.29,447.23,4.63,default,4,3,4,0.01,3,2,200
default_frangi_0.880,frangi,0.88,0.00,8,9,7,7,0.0615,0.0217,0.0317,0.0360,0.2132,5.930,3402,91203,10970718,12552,15954,94605,5.29,399.49,4.43,default,4,3,4,0.01,3,2,200
default_frangi_0.900,frangi,0.9,0.00,8,9,7,7,0.0662,0.0240,0.0342,0.0394,0.2060,5.227,3286,80103,10981818,12668,15954,83389,5.29,356.59,4.39,default,4,3,4,0.01,3,2,200
default_frangi_0.920,frangi,0.92,0.00,8,9,7,7,0.0713,0.0262,0.0370,0.0434,0.1991,4.587,3177,70000,10991921,12777,15954,73177,5.29,317.27,4.30,default,4,3,4,0.01,3,2,200
default_frangi_0.940,frangi,0.94,0.00,8,9,7,7,0.0769,0.0293,0.0400,0.0480,0.1928,4.017,3076,61007,11000914,12878,15954,64083,5.29,280.76,4.26,default,4,3,4,0.01,3,2,200
default_frangi_0.960,frangi,0.96,0.00,8,9,7,7,0.0821,0.0320,0.0428,0.0528,0.1848,3.504,2949,52955,11008966,13005,15954,55904,5.29,247.21,4.12,default,4,3,4,0.01,3,2,200
default_frangi_0.980,frangi,0.98,0.00,8,9,7,7,0.0884,0.0358,0.0463,0.0587,0.1788,3.045,2853,45728,11016193,13101,15954,48581,5.29,216.44,4.06,default,4,3,4,0.01,3,2,200
