label,type,threshold_value,elapsed_s,vessel_seeds_correct,vessel_seeds_total,bg_seeds_correct,bg_seeds_total,pred_gt_dice,pred_gt_cldice,pred_gt_iou,pred_gt_precision,pred_gt_recall,pred_gt_vol,tp,fp,tn,fn,gt_voxels,pred_voxels,cl_len_gt_mm,cl_len_pred_mm,cl_match_pred_mm
threshold_1,threshold,1,0.00,9,9,0,14,0.0059,0.0000,0.0030,0.0030,1.0000,335.802,27722,9281392,0,0,27722,9309114,4.61,0.31,0.00
threshold_3,threshold,3,0.00,9,9,0,14,0.0059,0.0000,0.0030,0.0030,1.0000,335.802,27722,9281392,0,0,27722,9309114,4.61,0.31,0.00
threshold_5,threshold,5,0.00,9,9,0,14,0.0059,0.0000,0.0030,0.0030,1.0000,335.802,27722,9281392,0,0,27722,9309114,4.61,0.31,0.00
threshold_7,threshold,7,0.00,9,9,0,14,0.0059,0.0000,0.0030,0.0030,1.0000,335.802,27722,9281392,0,0,27722,9309114,4.61,0.31,0.00
threshold_9,threshold,9,0.00,9,9,0,14,0.0059,0.0000,0.0030,0.0030,1.0000,335.802,27722,9281392,0,0,27722,9309114,4.61,0.31,0.00
threshold_11,threshold,11,0.00,9,9,0,14,0.0059,0.0000,0.0030,0.0030,1.0000,335.802,27722,9281392,0,0,27722,9309114,4.61,0.31,0.00
threshold_13,threshold,13,0.00,9,9,0,14,0.0059,0.0000,0.0030,0.0030,1.0000,335.802,27722,9281392,0,0,27722,9309114,4.61,0.31,0.00
threshold_15,threshold,15,0.00,9,9,0,14,0.0059,0.0000,0.0030,0.0030,1.0000,335.802,27722,9281392,0,0,27722,9309114,4.61,0.31,0.00
threshold_17,threshold,17,0.00,9,9,0,14,0.0059,0.0000,0.0030,0.0030,1.0000,335.802,27722,9281392,0,0,27722,9309114,4.61,0.31,0.00
threshold_19,threshold,19,0.00,9,9,0,14,0.0059,0.0000,0.0030,0.0030,1.0000,335.802,27722,9281392,0,0,27722,9309114,4.61,0.31,0.00
threshold_21,threshold,21,0.00,9,9,0,14,0.0059,0.0000,0.0030,0.0030,1.0000,335.802,27722,9281392,0,0,27722,9309114,4.61,0.31,0.00
threshold_23,threshold,23,0.00,9,9,0,14,0.0059,0.0000,0.0030,0.0030,1.0000,335.802,27722,9281392,0,0,27722,9309114,4.61,0.31,0.00
threshold_25,threshold,25,0.00,9,9,0,14,0.0059,0.0000,0.0030,0.0030,1.0000,335.802,27722,9281392,0,0,27722,9309114,4.61,0.31,0.00
