label,type,threshold_value,elapsed_s,vessel_seeds_correct,vessel_seeds_total,bg_seeds_correct,bg_seeds_total,pred_gt_dice,pred_gt_cldice,pred_gt_iou,pred_gt_precision,pred_gt_recall,pred_gt_vol,tp,fp,tn,fn,gt_voxels,pred_voxels,cl_len_gt_mm,cl_len_pred_mm,cl_match_pred_mm,variant,vessel_size,vessel_std,structure_strength,ridge_threshold,ridge_iterations,auto_seed_rounds,auto_seed_max
default_soft_0.540,pipeline_soft,0.54,0.00,9,9,7,7,0.2689,0.3541,0.1553,0.2900,0.2506,0.864,3998,9789,11052132,11956,15954,13787,5.29,11.63,3.25,default,4,3,4,0.01,3,2,200
default_soft_0.560,pipeline_soft,0.56,0.00,9,9,7,7,0.2689,0.3541,0.1553,0.2900,0.2506,0.864,3998,9789,11052132,11956,15954,13787,5.29,11.63,3.25,default,4,3,4,0.01,3,2,200
default_soft_0.580,pipeline_soft,0.58,0.00,9,9,7,7,0.2689,0.3541,0.1553,0.2900,0.2506,0.864,3998,9789,11052132,11956,15954,13787,5.29,11.63,3.25,default,4,3,4,0.01,3,2,200
default_soft_0.600,pipeline_soft,0.6,0.00,9,9,7,7,0.2689,0.3541,0.1553,0.2900,0.2506,0.864,3998,9789,11052132,11956,15954,13787,5.29,11.63,3.25,default,4,3,4,0.01,3,2,200
default_soft_0.620,pipeline_soft,0.62,0.00,9,9,7,7,0.2689,0.3541,0.1553,0.2900,0.2506,0.864,3998,9789,11052132,11956,15954,13787,5.29,11.63,3.25,default,4,3,4,0.01,3,2,200
default_soft_0.640,pipeline_soft,0.64,0.00,9,9,7,7,0.2689,0.3541,0.1553,0.2900,0.2506,0.864,3998,9789,11052132,11956,15954,13787,5.29,11.63,3.25,default,4,3,4,0.01,3,2,200
default_soft_0.660,pipeline_soft,0.66,0.00,9,9,7,7,0.2689,0.3541,0.1553,0.2900,0.2506,0.864,3998,9789,11052132,11956,15954,13787,5.29,11.63,3.25,default,4,3,4,0.01,3,2,200
default_soft_0.680,pipeline_soft,0.68,0.00,8,9,7,7,0.1543,0.2740,0.0836,0.5409,0.0900,0.166,1436,1219,11060702,14518,15954,2655,5.29,2.48,1.21,default,4,3,4,0.01,3,2,200
default_soft_0.700,pipeline_soft,0.7,0.00,8,9,7,7,0.1543,0.2740,0.0836,0.5409,0.0900,0.166,1436,1219,11060702,14518,15954,2655,5.29,2.48,1.21,default,4,3,4,0.01,3,2,200
default_soft_0.720,pipeline_soft,0.72,0.01,8,9,7,7,0.1543,0.2740,0.0836,0.5409,0.0900,0.166,1436,1219,11060702,14518,15954,2655,5.29,2.48,1.21,default,4,3,4,0.01,3,2,200
default_soft_0.740,pipeline_soft,0.74,0.00,8,9,7,7,0.1543,0.2740,0.0836,0.5409,0.0900,0.166,1436,1219,11060702,14518,15954,2655,5.29,2.48,1.21,default,4,3,4,0.01,3,2,200
default_soft_0.760,pipeline_soft,0.76,0.00,8,9,7,7,0.1543,0.2740,0.0836,0.5409,0.0900,0.166,1436,1219,11060702,14518,15954,2655,5.29,2.48,1.21,default,4,3,4,0.01,3,2,200
default_soft_0.780,pipeline_soft,0.78,0.00,8,9,7,7,0.1543,0.2740,0.0836,0.5409,0.0900,0.166,1436,1219,11060702,14518,15954,2655,5.29,2.48,1.21,default,4,3,4,0.01,3,2,200
default_soft_0.800,pipeline_soft,0.8,0.00,8,9,7,7,0.1543,0.2740,0.0836,0.5409,0.0900,0.166,1436,1219,11060702,14518,15954,2655,5.29,2.48,1.21,default,4,3,4,0.01,3,2,200
default_soft_0.820,pipeline_soft,0.82,0.00,8,9,7,7,0.1543,0.2740,0.0836,0.5409,0.0900,0.166,1436,1219,11060702,14518,15954,2655,5.29,2.48,1.21,default,4,3,4,0.01,3,2,200
default_soft_0.840,pipeline_soft,0.84,0.00,8,9,7,7,0.1543,0.2740,0.0836,0.5409,0.0900,0.166,1436,1219,11060702,14518,15954,2655,5.29,2.48,1.21,default,4,3,4,0.01,3,2,200
default_soft_0.860,pipeline_soft,0.86,0.00,8,9,7,7,0.1543,0.2740,0.0836,0.5409,0.0900,0.166,1436,1219,11060702,14518,15954,2655,5.29,2.48,1.21,default,4,3,4,0.01,3,2,200
default_soft_0.880,pipeline_soft,0.88,0.01,8,9,7,7,0.1543,0.2740,0.0836,0.5409,0.0900,0.166,1436,1219,11060702,14518,15954,2655,5.29,2.48,1.21,default,4,3,4,0.01,3,2,200
default_soft_0.900,pipeline_soft,0.9,0.00,8,9,7,7,0.1543,0.2740,0.0836,0.5409,0.0900,0.166,1436,1219,11060702,14518,15954,2655,5.29,2.48,1.21,default,4,3,4,0.01,3,2,200
default_soft_0.920,pipeline_soft,0.92,0.00,8,9,7,7,0.1543,0.2740,0.0836,0.5409,0.0900,0.166,1436,1219,11060702,14518,15954,2655,5.29,2.48,1.21,default,4,3,4,0.01,3,2,200
default_soft_0.940,pipeline_soft,0.94,0.00,8,9,7,7,0.1543,0.2740,0.0836,0.5409,0.0900,0.166,1436,1219,11060702,14518,15954,2655,5.29,2.48,1.21,default,4,3,4,0.01,3,2,200
default_soft_0.960,pipeline_soft,0.96,0.00,8,9,7,7,0.1543,0.2740,0.0836,0.5409,0.0900,0.166,1436,1219,11060702,14518,15954,2655,5.29,2.48,1.21,default,4,3,4,0.01,3,2,200
default_soft_0.980,pipeline_soft,0.98,0.00,8,9,7,7,0.1543,0.2740,0.0836,0.5409,0.0900,0.166,1436,1219,11060702,14518,15954,2655,5.29,2.48,1.21,default,4,3,4,0.01,3,2,200
