scan,method,variant,threshold_value,vessel_id,volume_voxels,length_mm,overlap_voxels,corresponding_ids,n_corresponding
SLICES_CA-LL-R_x+298_y+233_z+427_experiment,threshold,best_dice,123,33,1,0.006000000000000001,0,,0
SLICES_CA-LL-R_x+298_y+233_z+427_experiment,threshold,best_dice,123,34,19,0.018000000000000002,5,7,1
SLICES_CA-LL-R_x+298_y+233_z+427_experiment,threshold,best_dice,123,35,29,0.018000000000000002,24,6,1
SLICES_CA-LL-R_x+298_y+233_z+427_experiment,threshold,best_dice,123,36,73,0.04800000000000001,38,3,1
SLICES_CA-LL-R_x+298_y+233_z+427_experiment,threshold,best_dice,123,37,2,0.0,0,,0
SLICES_CA-LL-R_x+298_y+233_z+427_experiment,threshold,best_dice,123,38,2,0.006000000000000001,0,,0
SLICES_CA-LL-R_x+298_y+233_z+427_experiment,threshold,best_dice,123,39,25,0.018000000000000002,20,10,1
SLICES_CA-LL-R_x+298_y+233_z+427_experiment,threshold,best_dice,123,40,1,0.006000000000000001,0,,0
SLICES_CA-LL-R_x+298_y+233_z+427_experiment,threshold,best_dice,123,41,182,0.08400000000000002,145,9,1
SLICES_CA-LL-R_x+298_y+233_z+427_experiment,threshold,best_dice,123,42,3,0.006000000000000001,0,,0
SLICES_CA-LL-R_x+298_y+233_z+427_experiment,threshold,best_dice,123,43,103,0.024000000000000004,81,5,1
SLICES_CA-LL-R_x+298_y+233_z+427_experiment,threshold,best_dice,123,44,1,0.0,0,,0
SLICES_CA-LL-R_x+298_y+233_z+427_experiment,threshold,best_dice,123,45,109,0.054000000000000006,81,11,1
SLICES_CA-LL-R_x+298_y+233_z+427_experiment,threshold,best_dice,123,46,200,0.04200000000000001,141,13,1
SLICES_CA-LL-R_x+298_y+233_z+427_experiment,threshold,best_dice,123,47,20,0.012000000000000002,20,6,1
SLICES_CA-LL-R_x+298_y+233_z+427_experiment,threshold,best_dice,123,48,88,0.04200000000000001,7,15,1
