scan,method,variant,threshold_value,vessel_id,volume_voxels,length_mm,overlap_voxels,corresponding_ids,n_corresponding
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,14,922,0.17400000000000002,883,12,1
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,15,28,0.018000000000000002,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,16,1,0.006000000000000001,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,17,20,0.012000000000000002,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,18,5,0.012000000000000002,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,19,6,0.0,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,20,52,0.006000000000000001,51,12,1
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,21,6,0.0,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,22,1,0.0,1,12,1
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,23,3,0.0,3,15,1
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,24,3,0.006000000000000001,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,25,1,0.006000000000000001,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,26,5,0.012000000000000002,5,18,1
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,27,57,0.036000000000000004,57,19,1
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,28,10,0.006000000000000001,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,29,36,0.012000000000000002,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,30,1,0.006000000000000001,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,31,2,0.012000000000000002,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,32,5,0.012000000000000002,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,33,300,0.10800000000000001,274,19,1
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,34,12,0.012000000000000002,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,35,21,0.012000000000000002,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,36,1,0.006000000000000001,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,37,2,0.012000000000000002,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,38,1952,0.4740000000000001,350,21;22,2
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,39,4,0.012000000000000002,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,40,2,0.012000000000000002,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,41,17,0.012000000000000002,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,42,11,0.0,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,43,190,0.0,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,44,1,0.006000000000000001,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,45,730,0.18000000000000002,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,46,1,0.006000000000000001,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,47,987,0.06000000000000001,753,23,1
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,48,280,0.024000000000000004,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,49,47,0.006000000000000001,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,50,88,0.04800000000000001,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,51,7,0.012000000000000002,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,52,9,0.012000000000000002,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,53,139,0.030000000000000006,135,24,1
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,54,11,0.0,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,55,2235,0.36600000000000005,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,56,83,0.0,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,57,20,0.018000000000000002,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,58,29,0.018000000000000002,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,59,11,0.0,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,60,6,0.012000000000000002,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,61,3,0.012000000000000002,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,62,377,0.09600000000000002,352,25,1
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,63,5065,0.7200000000000001,4646,25,1
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,64,5,0.024000000000000004,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,65,42,0.006000000000000001,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,66,6,0.012000000000000002,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,67,2,0.012000000000000002,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,68,140,0.012000000000000002,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,69,2,0.012000000000000002,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,70,3843,1.0380000000000003,977,25,1
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,71,77,0.024000000000000004,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,72,14,0.012000000000000002,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,73,1,0.006000000000000001,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,74,33,0.006000000000000001,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,75,17,0.012000000000000002,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,76,4,0.006000000000000001,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,77,4,0.006000000000000001,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,78,116,0.036000000000000004,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,79,5,0.006000000000000001,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,80,126,0.024000000000000004,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,81,1,0.006000000000000001,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,82,8,0.0,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,83,29,0.006000000000000001,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,84,1,0.006000000000000001,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,85,34,0.018000000000000002,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,86,42,0.030000000000000006,24,25,1
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,87,8,0.024000000000000004,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,88,2,0.012000000000000002,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,89,52,0.024000000000000004,52,26,1
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,90,278,0.15000000000000002,278,26,1
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,91,16,0.006000000000000001,16,26,1
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,92,512,0.16200000000000003,507,26,1
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,93,498,0.10200000000000002,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,94,472,0.09600000000000002,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,95,8,0.0,8,26,1
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,96,2,0.012000000000000002,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,97,3,0.018000000000000002,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,98,22,0.018000000000000002,22,26,1
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,99,20,0.0,20,27,1
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,100,3,0.006000000000000001,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,101,5706,0.6600000000000001,3495,32,1
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,102,219,0.036000000000000004,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,103,26,0.006000000000000001,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,104,147,0.030000000000000006,116,25,1
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,105,166,0.006000000000000001,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,106,1,0.006000000000000001,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,107,64,0.006000000000000001,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,108,11,0.0,10,34,1
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,109,2,0.012000000000000002,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,110,115,0.012000000000000002,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,111,14,0.006000000000000001,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,112,36,0.006000000000000001,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,113,18,0.012000000000000002,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,114,1,0.006000000000000001,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,115,53,0.036000000000000004,53,35,1
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,116,15,0.012000000000000002,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,117,1,0.006000000000000001,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,118,8,0.0,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,threshold,best_dice,183,119,7,0.006000000000000001,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,pipeline,default,,1,165,0.11400000000000002,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,pipeline,default,,2,430,0.29400000000000004,62,4,1
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,pipeline,default,,3,1035,0.6900000000000002,92,1;6,2
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,pipeline,default,,4,5,0.006000000000000001,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,pipeline,default,,5,272,0.14400000000000002,27,2,1
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,pipeline,default,,6,118,0.08400000000000002,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,pipeline,default,,7,167,0.10800000000000001,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,pipeline,default,,8,253,0.17400000000000002,97,3,1
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,pipeline,default,,9,262,0.18000000000000002,96,5,1
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,pipeline,default,,10,513,0.31800000000000006,195,7,1
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,pipeline,default,,11,462,0.37200000000000005,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,pipeline,default,,12,23,0.06000000000000001,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,pipeline,default,,13,421,0.42600000000000005,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,pipeline,default,,14,239,0.18600000000000003,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,pipeline,default,,15,436,0.21000000000000005,55,8;9,2
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,pipeline,default,,16,522,0.4020000000000001,51,11,1
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,pipeline,default,,17,2,0.012000000000000002,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,pipeline,default,,18,14,0.036000000000000004,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,pipeline,default,,19,220,0.14400000000000002,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,pipeline,default,,20,257,0.26400000000000007,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,pipeline,default,,21,10,0.030000000000000006,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,pipeline,default,,22,2,0.006000000000000001,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,pipeline,default,,23,20,0.06000000000000001,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,pipeline,default,,24,18,0.06000000000000001,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,pipeline,default,,25,254,0.15000000000000002,38,10,1
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,pipeline,default,,26,110,0.06600000000000002,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,pipeline,default,,27,238,0.15000000000000002,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,pipeline,default,,28,82,0.04800000000000001,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,pipeline,default,,29,180,0.11400000000000002,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,pipeline,default,,30,5,0.012000000000000002,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,pipeline,default,,31,234,0.17400000000000002,0,,0
SLICES_CA-LL-L1_x+559_y+604_z+498_experiment,pipeline,default,,32,376,0.25200000000000006,0,,0
