scan,method,variant,threshold_value,vessel_id,volume_voxels,length_mm,overlap_voxels,corresponding_ids,n_corresponding
SLICES_CA-NM-L_x+1800_y+1800_z+319_experiment,ground_truth,,,1,386,0.07800000000000001,0,,0
SLICES_CA-NM-L_x+1800_y+1800_z+319_experiment,ground_truth,,,2,516,0.20400000000000004,0,,0
SLICES_CA-NM-L_x+1800_y+1800_z+319_experiment,ground_truth,,,3,1,0.0,0,,0
SLICES_CA-NM-L_x+1800_y+1800_z+319_experiment,ground_truth,,,4,24,0.0,0,,0
SLICES_CA-NM-L_x+1800_y+1800_z+319_experiment,ground_truth,,,5,162,0.024000000000000004,0,,0
SLICES_CA-NM-L_x+1800_y+1800_z+319_experiment,ground_truth,,,6,1891,0.36600000000000005,0,,0
SLICES_CA-NM-L_x+1800_y+1800_z+319_experiment,ground_truth,,,7,265,0.0,0,,0
SLICES_CA-NM-L_x+1800_y+1800_z+319_experiment,ground_truth,,,8,1053,0.10800000000000001,0,,0
SLICES_CA-NM-L_x+1800_y+1800_z+319_experiment,ground_truth,,,9,37,0.04200000000000001,0,,0
SLICES_CA-NM-L_x+1800_y+1800_z+319_experiment,ground_truth,,,10,1163,0.10200000000000002,0,,0
SLICES_CA-NM-L_x+1800_y+1800_z+319_experiment,ground_truth,,,11,203,0.138,0,,0
SLICES_CA-NM-L_x+1800_y+1800_z+319_experiment,ground_truth,,,12,180,0.15000000000000002,0,,0
SLICES_CA-NM-L_x+1800_y+1800_z+319_experiment,ground_truth,,,13,1,0.0,0,,0
SLICES_CA-NM-L_x+1800_y+1800_z+319_experiment,ground_truth,,,14,208,0.036000000000000004,0,,0
SLICES_CA-NM-L_x+1800_y+1800_z+319_experiment,ground_truth,,,15,77,0.054000000000000006,0,,0
SLICES_CA-NM-L_x+1800_y+1800_z+319_experiment,ground_truth,,,16,2886,0.6480000000000001,0,,0
SLICES_CA-NM-L_x+1800_y+1800_z+319_experiment,ground_truth,,,17,264,0.018000000000000002,0,,0
SLICES_CA-NM-L_x+1800_y+1800_z+319_experiment,ground_truth,,,18,82,0.036000000000000004,0,,0
SLICES_CA-NM-L_x+1800_y+1800_z+319_experiment,ground_truth,,,19,341,0.14400000000000002,0,,0
SLICES_CA-NM-L_x+1800_y+1800_z+319_experiment,ground_truth,,,20,72,0.07200000000000001,0,,0
SLICES_CA-NM-L_x+1800_y+1800_z+319_experiment,ground_truth,,,21,449,0.10200000000000002,0,,0
SLICES_CA-NM-L_x+1800_y+1800_z+319_experiment,ground_truth,,,22,854,0.16200000000000003,0,,0
SLICES_CA-NM-L_x+1800_y+1800_z+319_experiment,threshold,best_dice,195,1,32105,19.818000000000005,0,,0
SLICES_CA-NM-L_x+1800_y+1800_z+319_experiment,threshold,best_dice,195,2,1,0.006000000000000001,0,,0
SLICES_CA-NM-L_x+1800_y+1800_z+319_experiment,threshold,best_dice,195,3,247,0.19800000000000004,0,,0
SLICES_CA-NM-L_x+1800_y+1800_z+319_experiment,threshold,best_dice,195,4,1,0.006000000000000001,0,,0
SLICES_CA-NM-L_x+1800_y+1800_z+319_experiment,threshold,best_dice,195,5,1,0.006000000000000001,0,,0
SLICES_CA-NM-L_x+1800_y+1800_z+319_experiment,threshold,best_dice,195,6,3,0.012000000000000002,0,,0
SLICES_CA-NM-L_x+1800_y+1800_z+319_experiment,threshold,best_dice,195,7,3,0.006000000000000001,0,,0
