label,type,threshold_value,elapsed_s,vessel_seeds_correct,vessel_seeds_total,bg_seeds_correct,bg_seeds_total,pred_gt_dice,pred_gt_cldice,pred_gt_iou,pred_gt_precision,pred_gt_recall,pred_gt_vol,tp,fp,tn,fn,gt_voxels,pred_voxels,cl_len_gt_mm,cl_len_pred_mm,cl_match_pred_mm,variant,vessel_size,vessel_std,structure_strength,ridge_threshold,ridge_iterations,auto_seed_rounds,auto_seed_max
default_frangi_0.000,frangi,0.0,0.00,27,27,8,11,0.0769,0.0817,0.0400,0.0404,0.8074,19.997,88404,2101086,8770432,21086,109490,2189490,26.99,391.29,16.79,default,4,3,4,0.01,3,2,200
default_frangi_0.020,frangi,0.02,0.00,27,27,8,11,0.0828,0.0784,0.0432,0.0436,0.8034,18.416,87967,1928405,8943113,21523,109490,2016372,26.99,413.09,16.97,default,4,3,4,0.01,3,2,200
default_frangi_0.040,frangi,0.04,0.00,27,27,8,11,0.0934,0.0786,0.0490,0.0496,0.7949,16.016,87037,1666540,9204978,22453,109490,1753577,26.99,410.39,16.91,default,4,3,4,0.01,3,2,200
default_frangi_0.060,frangi,0.06,0.00,26,27,8,11,0.1069,0.0818,0.0564,0.0573,0.7825,13.645,85677,1408346,9463172,23813,109490,1494023,26.99,402.28,17.32,default,4,3,4,0.01,3,2,200
default_frangi_0.080,frangi,0.08,0.00,26,27,9,11,0.1221,0.0828,0.0650,0.0664,0.7675,11.567,84034,1182393,9689125,25456,109490,1266427,26.99,391.87,17.09,default,4,3,4,0.01,3,2,200
default_frangi_0.100,frangi,0.1,0.00,26,27,9,11,0.1395,0.0889,0.0750,0.0769,0.7509,9.765,82220,986973,9884545,27270,109490,1069193,26.99,364.67,17.18,default,4,3,4,0.01,3,2,200
default_frangi_0.120,frangi,0.12,0.00,26,27,10,11,0.1593,0.0996,0.0865,0.0893,0.7337,8.213,80337,818890,10052628,29153,109490,899227,26.99,322.78,17.18,default,4,3,4,0.01,3,2,200
default_frangi_0.140,frangi,0.14,0.00,26,27,10,11,0.1815,0.1138,0.0998,0.1039,0.7157,6.887,78367,675722,10195796,31123,109490,754089,26.99,283.51,17.45,default,4,3,4,0.01,3,2,200
default_frangi_0.160,frangi,0.16,0.00,26,27,10,11,0.2062,0.1346,0.1149,0.1210,0.6968,5.759,76292,554222,10317296,33198,109490,630514,26.99,244.37,18.10,default,4,3,4,0.01,3,2,200
default_frangi_0.180,frangi,0.18,0.00,26,27,10,11,0.2328,0.1634,0.1317,0.1406,0.6764,4.811,74059,452689,10418829,35431,109490,526748,26.99,205.13,18.91,default,4,3,4,0.01,3,2,200
default_frangi_0.200,frangi,0.2,0.00,26,27,11,11,0.2611,0.1842,0.1501,0.1630,0.6555,4.022,71774,368605,10502913,37716,109490,440379,26.99,171.56,18.21,default,4,3,4,0.01,3,2,200
default_frangi_0.220,frangi,0.22,0.00,26,27,11,11,0.2890,0.2128,0.1689,0.1873,0.6332,3.381,69324,300871,10570647,40166,109490,370195,26.99,141.39,17.86,default,4,3,4,0.01,3,2,200
default_frangi_0.240,frangi,0.24,0.00,26,27,11,11,0.3165,0.2450,0.1880,0.2136,0.6107,2.860,66865,246238,10625280,42625,109490,313103,26.99,118.18,17.81,default,4,3,4,0.01,3,2,200
default_frangi_0.260,frangi,0.26,0.00,26,27,11,11,0.3426,0.2683,0.2067,0.2415,0.5889,2.438,64478,202482,10669036,45012,109490,266960,26.99,98.60,16.80,default,4,3,4,0.01,3,2,200
default_frangi_0.280,frangi,0.28,0.00,26,27,11,11,0.3658,0.3082,0.2238,0.2700,0.5669,2.099,62066,167782,10703736,47424,109490,229848,26.99,82.63,17.05,default,4,3,4,0.01,3,2,200
default_frangi_0.300,frangi,0.3,0.00,26,27,11,11,0.3860,0.3346,0.2392,0.2985,0.5462,1.830,59801,140523,10730995,49689,109490,200324,26.99,69.01,16.15,default,4,3,4,0.01,3,2,200
default_frangi_0.320,frangi,0.32,0.00,26,27,11,11,0.4028,0.3643,0.2522,0.3264,0.5260,1.612,57591,118869,10752649,51899,109490,176460,26.99,58.61,15.73,default,4,3,4,0.01,3,2,200
default_frangi_0.340,frangi,0.34,0.00,26,27,11,11,0.4141,0.3839,0.2611,0.3510,0.5048,1.438,55270,102202,10769316,54220,109490,157472,26.99,51.41,15.19,default,4,3,4,0.01,3,2,200
default_frangi_0.360,frangi,0.36,0.00,26,27,11,11,0.4224,0.4024,0.2677,0.3743,0.4846,1.295,53062,88717,10782801,56428,109490,141779,26.99,45.43,14.75,default,4,3,4,0.01,3,2,200
default_frangi_0.380,frangi,0.38,0.00,25,27,11,11,0.4277,0.4096,0.2720,0.3953,0.4659,1.179,51011,78034,10793484,58479,109490,129045,26.99,39.42,13.57,default,4,3,4,0.01,3,2,200
