label,type,threshold_value,elapsed_s,vessel_seeds_correct,vessel_seeds_total,bg_seeds_correct,bg_seeds_total,pred_gt_dice,pred_gt_cldice,pred_gt_iou,pred_gt_precision,pred_gt_recall,pred_gt_vol,tp,fp,tn,fn,gt_voxels,pred_voxels,cl_len_gt_mm,cl_len_pred_mm,cl_match_pred_mm,variant,vessel_size,vessel_std,structure_strength,ridge_threshold,ridge_iterations,auto_seed_rounds,auto_seed_max
default_soft_0.000,pipeline_soft,0.0,0.00,9,9,7,7,0.1166,0.1343,0.0619,0.0649,0.5742,8.849,9160,132021,10929900,6794,15954,141181,5.29,59.43,4.36,default,4,3,4,0.01,3,2,200
default_soft_0.020,pipeline_soft,0.02,0.00,9,9,7,7,0.1166,0.1343,0.0619,0.0649,0.5742,8.849,9160,132021,10929900,6794,15954,141181,5.29,59.43,4.36,default,4,3,4,0.01,3,2,200
default_soft_0.040,pipeline_soft,0.04,0.00,9,9,7,7,0.1166,0.1343,0.0619,0.0649,0.5742,8.849,9160,132021,10929900,6794,15954,141181,5.29,59.43,4.36,default,4,3,4,0.01,3,2,200
default_soft_0.060,pipeline_soft,0.06,0.00,9,9,7,7,0.1166,0.1343,0.0619,0.0649,0.5742,8.849,9160,132021,10929900,6794,15954,141181,5.29,59.43,4.36,default,4,3,4,0.01,3,2,200
default_soft_0.080,pipeline_soft,0.08,0.00,9,9,7,7,0.1166,0.1343,0.0619,0.0649,0.5742,8.849,9160,132021,10929900,6794,15954,141181,5.29,59.43,4.36,default,4,3,4,0.01,3,2,200
default_soft_0.100,pipeline_soft,0.1,0.00,9,9,7,7,0.1166,0.1343,0.0619,0.0649,0.5742,8.849,9160,132021,10929900,6794,15954,141181,5.29,59.43,4.36,default,4,3,4,0.01,3,2,200
default_soft_0.120,pipeline_soft,0.12,0.00,9,9,7,7,0.1166,0.1343,0.0619,0.0649,0.5742,8.849,9160,132021,10929900,6794,15954,141181,5.29,59.43,4.36,default,4,3,4,0.01,3,2,200
default_soft_0.140,pipeline_soft,0.14,0.00,9,9,7,7,0.1166,0.1343,0.0619,0.0649,0.5742,8.849,9160,132021,10929900,6794,15954,141181,5.29,59.43,4.36,default,4,3,4,0.01,3,2,200
default_soft_0.160,pipeline_soft,0.16,0.00,9,9,7,7,0.1166,0.1343,0.0619,0.0649,0.5742,8.849,9160,132021,10929900,6794,15954,141181,5.29,59.43,4.36,default,4,3,4,0.01,3,2,200
default_soft_0.180,pipeline_soft,0.18,0.00,9,9,7,7,0.1166,0.1343,0.0619,0.0649,0.5742,8.849,9160,132021,10929900,6794,15954,141181,5.29,59.43,4.36,default,4,3,4,0.01,3,2,200
default_soft_0.200,pipeline_soft,0.2,0.00,9,9,7,7,0.1166,0.1343,0.0619,0.0649,0.5742,8.849,9160,132021,10929900,6794,15954,141181,5.29,59.43,4.36,default,4,3,4,0.01,3,2,200
default_soft_0.220,pipeline_soft,0.22,0.00,9,9,7,7,0.1166,0.1343,0.0619,0.0649,0.5742,8.849,9160,132021,10929900,6794,15954,141181,5.29,59.43,4.36,default,4,3,4,0.01,3,2,200
default_soft_0.240,pipeline_soft,0.24,0.00,9,9,7,7,0.1166,0.1343,0.0619,0.0649,0.5742,8.849,9160,132021,10929900,6794,15954,141181,5.29,59.43,4.36,default,4,3,4,0.01,3,2,200
default_soft_0.260,pipeline_soft,0.26,0.00,9,9,7,7,0.1166,0.1343,0.0619,0.0649,0.5742,8.849,9160,132021,10929900,6794,15954,141181,5.29,59.43,4.36,default,4,3,4,0.01,3,2,200
default_soft_0.280,pipeline_soft,0.28,0.00,9,9,7,7,0.1166,0.1343,0.0619,0.0649,0.5742,8.849,9160,132021,10929900,6794,15954,141181,5.29,59.43,4.36,default,4,3,4,0.01,3,2,200
default_soft_0.300,pipeline_soft,0.3,0.00,9,9,7,7,0.1166,0.1343,0.0619,0.0649,0.5742,8.849,9160,132021,10929900,6794,15954,141181,5.29,59.43,4.36,default,4,3,4,0.01,3,2,200
default_soft_0.320,pipeline_soft,0.32,0.00,9,9,7,7,0.1166,0.1343,0.0619,0.0649,0.5742,8.849,9160,132021,10929900,6794,15954,141181,5.29,59.43,4.36,default,4,3,4,0.01,3,2,200
default_soft_0.340,pipeline_soft,0.34,0.00,8,9,7,7,0.2638,0.3086,0.1519,0.1980,0.3952,1.996,6305,25546,11036375,9649,15954,31851,5.29,13.38,2.87,default,4,3,4,0.01,3,2,200
default_soft_0.360,pipeline_soft,0.36,0.00,8,9,7,7,0.2638,0.3086,0.1519,0.1980,0.3952,1.996,6305,25546,11036375,9649,15954,31851,5.29,13.38,2.87,default,4,3,4,0.01,3,2,200
default_soft_0.380,pipeline_soft,0.38,0.00,8,9,7,7,0.2638,0.3086,0.1519,0.1980,0.3952,1.996,6305,25546,11036375,9649,15954,31851,5.29,13.38,2.87,default,4,3,4,0.01,3,2,200
default_soft_0.400,pipeline_soft,0.4,0.00,8,9,7,7,0.2638,0.3086,0.1519,0.1980,0.3952,1.996,6305,25546,11036375,9649,15954,31851,5.29,13.38,2.87,default,4,3,4,0.01,3,2,200
default_soft_0.420,pipeline_soft,0.42,0.00,8,9,7,7,0.2638,0.3086,0.1519,0.1980,0.3952,1.996,6305,25546,11036375,9649,15954,31851,5.29,13.38,2.87,default,4,3,4,0.01,3,2,200
default_soft_0.440,pipeline_soft,0.44,0.00,8,9,7,7,0.2638,0.3086,0.1519,0.1980,0.3952,1.996,6305,25546,11036375,9649,15954,31851,5.29,13.38,2.87,default,4,3,4,0.01,3,2,200
default_soft_0.460,pipeline_soft,0.46,0.00,8,9,7,7,0.2638,0.3086,0.1519,0.1980,0.3952,1.996,6305,25546,11036375,9649,15954,31851,5.29,13.38,2.87,default,4,3,4,0.01,3,2,200
default_soft_0.480,pipeline_soft,0.48,0.00,8,9,7,7,0.2638,0.3086,0.1519,0.1980,0.3952,1.996,6305,25546,11036375,9649,15954,31851,5.29,13.38,2.87,default,4,3,4,0.01,3,2,200
default_soft_0.500,pipeline_soft,0.5,0.00,8,9,7,7,0.2638,0.3086,0.1519,0.1980,0.3952,1.996,6305,25546,11036375,9649,15954,31851,5.29,13.38,2.87,default,4,3,4,0.01,3,2,200
default_soft_0.520,pipeline_soft,0.52,0.00,8,9,7,7,0.2638,0.3086,0.1519,0.1980,0.3952,1.996,6305,25546,11036375,9649,15954,31851,5.29,13.38,2.87,default,4,3,4,0.01,3,2,200
default_soft_0.540,pipeline_soft,0.54,0.00,8,9,7,7,0.2638,0.3086,0.1519,0.1980,0.3952,1.996,6305,25546,11036375,9649,15954,31851,5.29,13.38,2.87,default,4,3,4,0.01,3,2,200
default_soft_0.560,pipeline_soft,0.56,0.00,8,9,7,7,0.2638,0.3086,0.1519,0.1980,0.3952,1.996,6305,25546,11036375,9649,15954,31851,5.29,13.38,2.87,default,4,3,4,0.01,3,2,200
default_soft_0.580,pipeline_soft,0.58,0.00,8,9,7,7,0.2638,0.3086,0.1519,0.1980,0.3952,1.996,6305,25546,11036375,9649,15954,31851,5.29,13.38,2.87,default,4,3,4,0.01,3,2,200
default_soft_0.600,pipeline_soft,0.6,0.00,8,9,7,7,0.2638,0.3086,0.1519,0.1980,0.3952,1.996,6305,25546,11036375,9649,15954,31851,5.29,13.38,2.87,default,4,3,4,0.01,3,2,200
default_soft_0.620,pipeline_soft,0.62,0.00,8,9,7,7,0.2638,0.3086,0.1519,0.1980,0.3952,1.996,6305,25546,11036375,9649,15954,31851,5.29,13.38,2.87,default,4,3,4,0.01,3,2,200
default_soft_0.640,pipeline_soft,0.64,0.00,8,9,7,7,0.2638,0.3086,0.1519,0.1980,0.3952,1.996,6305,25546,11036375,9649,15954,31851,5.29,13.38,2.87,default,4,3,4,0.01,3,2,200
default_soft_0.660,pipeline_soft,0.66,0.00,8,9,7,7,0.2638,0.3086,0.1519,0.1980,0.3952,1.996,6305,25546,11036375,9649,15954,31851,5.29,13.38,2.87,default,4,3,4,0.01,3,2,200
